vazao      pressaoEntrada
0.1144	   1.0068
0.2489     1.01361
0.3707     1.02041
0.5209     1.02857
0.6637     1.03605
0.7478     1.04082
0.9067     1.04898
1.010      1.05442
1.154      1.0619
1.284      1.06871
